subject,opponent,matchup,side2_count,side3_count,tape_runs,tape_mean,tape_min,tape_max,simulation_runs,simulation_mean,simulation_min,simulation_max,absolute_mean_delta,tape_band_error,wrong_stable_winner,unresolved_runs
elite_longbowman,heavy_scorpion,Elite Longbowman vs Heavy Scorpion,21,10,4,-10.565476190476192,-19.047619047619047,-3.5714285714285716,5,-9.285714285714286,-15.476190476190476,-6.5476190476190474,1.279761904761905,0,false,0
elite_longbowman,paladin,Elite Longbowman vs Paladin,21,11,4,28.080808080808083,23.838383838383837,35.656565656565654,5,38.08080808080808,38.08080808080808,38.08080808080808,10,2.424242424242429,false,0
elite_magyar_huszar,arbalester,Arbalester vs Elite Magyar Huszar,21,18,4,17.348484848484848,9.696969696969697,26.666666666666668,5,17.373737373737374,17.373737373737374,17.373737373737374,0.02525252525252597,0,false,0
elite_magyar_huszar,champion,Elite Magyar Huszar vs Champion,16,21,4,20.196351267779836,-13.636363636363637,33.40136054421769,100,29.16394557823129,5.782312925170068,46.46258503401361,8.967594310451453,0,false,0
elite_magyar_huszar,elite_elephant,Elite Magyar Huszar vs Elite Battle Elephant,21,10,4,44.6640625,36.25,57.53125,5,53.5125,49.625,57.8125,8.848437500000003,0,false,0
elite_magyar_huszar,heavy_cav_archer,Heavy Cavalry Archer vs Elite Magyar Huszar,16,21,1,52.38095238095238,52.38095238095238,52.38095238095238,5,17.662337662337663,15.151515151515152,21.861471861471863,34.71861471861472,34.71861471861472,false,0
elite_magyar_huszar,heavy_scorpion,Heavy Scorpion vs Elite Magyar Huszar,11,21,1,84.8051948051948,84.8051948051948,84.8051948051948,5,72.77056277056278,70.3030303030303,74.58874458874459,12.034632034632025,12.034632034632025,false,0
elite_magyar_huszar,paladin,Elite Magyar Huszar vs Paladin,21,12,4,-4.638648388648388,-21.428571428571427,15.74074074074074,100,23.05176767676767,-8.874458874458874,45.833333333333336,27.69041606541606,7.311026936026931,false,0
elite_mangudai,arbalester,Elite Mangudai vs Arbalester,12,21,4,27.857142857142854,17.142857142857142,38.095238095238095,5,43.04761904761905,36.19047619047619,48.57142857142857,15.190476190476197,4.952380952380956,false,0
elite_mangudai,champion,Elite Mangudai vs Champion,11,21,1,-92.04545454545455,-92.04545454545455,-92.04545454545455,5,-73.4090909090909,-73.4090909090909,-73.4090909090909,18.63636363636364,18.63636363636364,false,0
elite_mangudai,elite_elephant,Elite Mangudai vs Elite Battle Elephant,19,14,4,47.39955357142858,43.28125,50.513392857142854,5,74.35267857142857,74.35267857142857,74.35267857142857,26.953124999999993,23.839285714285715,false,0
elite_mangudai,heavy_cav_archer,Elite Mangudai vs Heavy Cavalry Archer,17,21,4,43.75,36.42857142857143,52.857142857142854,5,27.35714285714286,26.30952380952381,28.333333333333332,16.39285714285714,9.07142857142857,false,0
elite_mangudai,heavy_scorpion,Elite Mangudai vs Heavy Scorpion,19,15,4,-41.04440789473685,-45.26315789473684,-35.625,5,-27.55263157894737,-32.203947368421055,-21.151315789473685,13.49177631578948,8.07236842105263,false,0
elite_mangudai,paladin,Elite Mangudai vs Paladin,19,16,4,-41.08552631578947,-46.71052631578947,-31.973684210526315,5,-72.23684210526316,-72.23684210526316,-72.23684210526316,31.151315789473692,25.526315789473692,false,0
elite_plumed_archer,arbalester,Elite Plumed Archer vs Arbalester,19,21,1,-47.935222672064775,-47.935222672064775,-47.935222672064775,5,-35.611336032388664,-40.64777327935223,-32.71255060728745,12.323886639676111,12.323886639676111,false,0
elite_plumed_archer,champion,Elite Plumed Archer vs Champion,17,21,1,-94.57013574660634,-94.57013574660634,-94.57013574660634,5,-72.39819004524887,-72.39819004524887,-72.39819004524887,22.171945701357473,22.171945701357473,false,0
elite_plumed_archer,elite_elephant,Elite Plumed Archer vs Elite Battle Elephant,21,9,1,47.048611111111114,47.048611111111114,47.048611111111114,0,,,,,,true,5
elite_plumed_archer,heavy_cav_archer,Elite Plumed Archer vs Heavy Cavalry Archer,21,15,4,-34.523809523809526,-38.827838827838825,-30.76923076923077,5,-44.54212454212454,-47.985347985347985,-41.391941391941394,10.018315018315015,5.714285714285715,false,0
elite_plumed_archer,heavy_scorpion,Elite Plumed Archer vs Heavy Scorpion,21,10,4,28.666666666666664,23.833333333333332,32,5,38.733333333333334,34.833333333333336,42.333333333333336,10.06666666666667,6.733333333333334,false,0
elite_plumed_archer,paladin,Elite Plumed Archer vs Paladin,21,11,4,19.292929292929294,11.717171717171718,25.454545454545453,5,35.05050505050505,35.05050505050505,35.05050505050505,15.757575757575758,9.595959595959599,false,0
